,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
COL10A1,7699.18226958841,5.20131729127419,0.122148393558544,42.5819541276347,0,0,up
MMP1,19155.8789788344,4.68299198717825,0.12669808671098,36.9618208825912,4.70409698042218e-299,3.0296736602409e-295,up
COL1A1,32855.7278657133,3.39706199621304,0.0950596804644401,35.7360973613183,1.08782409624928e-279,4.67075406126234e-276,up
SPP1,20667.6021447347,4.62063166057603,0.132209193173728,34.9493976149172,1.32248613116215e-267,4.2587359638749e-264,up
CST1,14799.6917201722,4.66885661275124,0.133637801664288,34.9366463276603,2.06565265033178e-267,5.32153435778474e-264,up
CTHRC1,11443.5772300359,3.80945472982576,0.113802406057991,33.474289883507,1.14093339665297e-245,2.44939384704782e-242,up
CST2,6309.59208937137,4.4615162997443,0.133669601880646,33.3771944927912,2.9377580878242e-244,5.40589456132336e-241,up
MFAP2,5177.13873546253,3.20715345887429,0.098655248716658,32.5086956912487,8.03535214399339e-232,1.29379213708474e-228,up
SIX1,2129.51169281593,3.55018794442427,0.110946929928374,31.998974164641,1.12684037324444e-224,1.61275898308463e-221,up
COL5A2,9030.56171906176,2.8242191191908,0.0963208867691677,29.3209418426454,5.60979481794372e-189,7.22597670499331e-186,up
FSCN1,30068.2271777235,2.02493156911638,0.0709174601972211,28.5533571490724,2.55190648719207e-179,2.98828249650192e-176,up
HOXD11,2641.8267015191,3.81962385670814,0.135225930171939,28.2462383645764,1.58312269912338e-175,1.69935029061735e-172,up
ESM1,453.36368891237,3.53266734895621,0.126570243039663,27.9107258081916,1.97715973521229e-171,1.95906111917457e-168,up
KIF14,1716.76742372923,2.20706032071281,0.0791006143292862,27.9019365326935,2.52755371294914e-171,2.32552995546413e-168,up
C1QTNF6,2845.09827839459,2.69504482141001,0.0969978548071462,27.7845816978981,6.66194806557103e-170,5.72083686884136e-167,up
LRRC15,1081.24102783742,4.10827663815028,0.147897061999788,27.777946245857,8.01240864147733e-170,6.45048973192934e-167,up
LAMC2,16385.822159347,3.05734026488916,0.110116765057786,27.7645303445371,1.16353683397768e-169,8.81618703439205e-167,up
CCNA1,2322.99950545128,5.10446800463819,0.185339417332314,27.541189446419,5.6427096742347e-167,4.03798573965651e-164,up
GTSE1,2352.17786644968,1.94493035352714,0.0709407969900682,27.4162461664961,1.75595046824883e-165,1.19044199902701e-162,up
EPYC,460.869529095353,5.12934874205039,0.187464054194415,27.3617721759653,7.82233064484934e-165,5.03797205181522e-162,up
TPX2,7290.30123115185,2.04985110743372,0.0750043640200041,27.3297578643159,1.87952842907955e-164,1.15286693785589e-161,up
COL5A1,10958.1543801903,2.42762948274783,0.0902415931697597,26.9014475196715,2.1122250974444e-159,1.2367077945537e-156,up
CBX3,14102.4025808594,1.0503615837884,0.0391490024519236,26.8298428568718,1.44993723023163e-158,8.12027889678852e-156,up
COL1A2,32965.6007914399,2.69515606801423,0.100514667054482,26.8135601200705,2.24533867896148e-158,1.20509198015428e-155,up
